[mea_500kV_1]二次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.040375,	  138.486008,	  150.478544,	  148.596734,	    0.522833,	    0.566481,	    0.562050,	  248.119616,	  265.087134,	  244.693555,	   50.742921,	63903.156206,	   -7.863679,	    1.000000,	   -0.000000,	    0.000000
    0.040792,	  140.966019,	  153.682963,	  148.677298,	    0.531645,	    0.578703,	    0.562476,	  254.705327,	  267.535728,	  245.630336,	   52.088508,	65594.810465,	   -9.053327,	    1.000000,	    0.000000,	    0.000000
    0.041208,	  143.918987,	  156.492077,	  148.678186,	    0.542277,	    0.589527,	    0.562503,	  261.342089,	  269.216031,	  247.277142,	   51.694130,	67307.648029,	  -10.617961,	    1.000000,	    0.000000,	    0.000000
    0.041625,	  147.266680,	  158.854709,	  148.730017,	    0.554472,	    0.598734,	    0.562611,	  267.813311,	  270.228418,	  249.762621,	   49.054359,	69042.911501,	  -10.678595,	    1.000000,	   -0.000000,	    0.000000
    0.042042,	  150.905439,	  160.746284,	  148.964304,	    0.567851,	    0.606195,	    0.563293,	  273.922023,	  270.715739,	  253.152647,	   50.595403,	70802.183075,	   -8.546223,	    1.000000,	    0.000000,	    0.000000
    0.042458,	  154.710994,	  162.165436,	  149.504384,	    0.581960,	    0.611877,	    0.565021,	  279.490034,	  270.855842,	  257.442181,	   51.689991,	72584.680878,	   -5.697255,	    1.000000,	   -0.000000,	    0.000000
    0.042875,	  158.550721,	  163.139522,	  150.454407,	    0.596316,	    0.615870,	    0.568202,	  284.375001,	  270.857404,	  262.555167,	   51.557197,	74389.363353,	   -4.259418,	    1.000000,	   -0.000000,	    0.000000
    0.043292,	  162.297346,	  163.726386,	  151.888279,	    0.610438,	    0.618363,	    0.573139,	  288.484777,	  270.947096,	  268.355409,	   49.261538,	76216.806943,	   -4.740736,	    1.000000,	    0.000000,	    0.000000
    0.043708,	  165.834034,	  164.008651,	  153.843271,	    0.623873,	    0.619639,	    0.580009,	  291.773503,	  271.352635,	  274.660736,	   50.641403,	78067.516608,	   -5.839225,	    1.000000,	    0.000000,	    0.000000
    0.044125,	  169.058820,	  164.089899,	  156.317048,	    0.636217,	    0.620070,	    0.588837,	  294.240955,	  272.286880,	  281.258445,	   51.576467,	79941.399085,	   -6.498238,	    1.000000,	   -0.000000,	    0.000000
    0.044542,	  171.889589,	  164.090824,	  159.267819,	    0.647150,	    0.620098,	    0.599496,	  295.934825,	  273.930726,	  287.921413,	   50.256349,	81838.067721,	   -6.726044,	    1.000000,	   -0.000000,	    0.000000
    0.044958,	  174.269765,	  164.142879,	  162.617784,	    0.656448,	    0.620205,	    0.611719,	  296.953072,	  276.414374,	  294.425041,	   49.105403,	83757.379299,	   -6.626979,	    1.000000,	   -0.000000,	    0.000000
    0.045375,	  176.172834,	  164.377799,	  166.259973,	    0.663984,	    0.620885,	    0.625134,	  297.441554,	  279.799949,	  300.563523,	   50.507350,	85699.306873,	   -6.711590,	    1.000000,	   -0.000000,	    0.000000
    0.045792,	  177.600562,	  164.917185,	  170.070957,	    0.669731,	    0.622606,	    0.639298,	  297.582164,	  284.080371,	  306.160908,	   51.661626,	87663.767687,	   -7.131333,	    1.000000,	   -0.000000,	    0.000000
    0.046208,	  178.581214,	  165.864894,	  173.921578,	    0.673769,	    0.625778,	    0.653729,	  297.583789,	  289.185938,	  311.076787,	   50.477756,	89651.128550,	   -7.167627,	    1.000000,	   -0.000000,	    0.000000
    0.046625,	  179.171376,	  167.296217,	  177.683178,	    0.676290,	    0.630706,	    0.667937,	  297.673479,	  294.985236,	  315.213202,	   49.129702,	91661.717674,	   -6.057955,	    1.000000,	   -0.000000,	    0.000000
    0.047042,	  179.454391,	  169.248478,	  181.235490,	    0.677583,	    0.637559,	    0.681463,	  298.079769,	  301.295239,	  318.520510,	   50.306879,	93695.228397,	   -4.105487,	    1.000000,	   -0.000000,	    0.000000
    0.047458,	  179.535582,	  171.718474,	  184.474894,	    0.678024,	    0.646367,	    0.693904,	  299.014268,	  307.901633,	  320.999672,	   51.514921,	95751.245883,	   -3.413237,	    1.000000,	   -0.000000,	    0.000000
    0.047875,	  179.536517,	  174.664248,	  187.319781,	    0.678054,	    0.657012,	    0.704937,	  300.654654,	  314.577874,	  322.701910,	   50.529871,	97829.660794,	   -4.674045,	    1.000000,	   -0.000000,	    0.000000
    0.048292,	  179.588273,	  178.011563,	  189.714380,	    0.678158,	    0.669236,	    0.714323,	  303.131296,	  321.103374,	  323.726537,	   49.230314,	99931.610164,	   -6.041026,	    1.000000,	   -0.000000,	    0.000000
    0.048708,	  179.823007,	  181.656916,	  191.629478,	    0.678830,	    0.682663,	    0.721928,	  306.511405,	  327.270332,	  324.217684,	   50.204948,	102057.405950,	   -6.392959,	    1.000000,	   -0.000000,	   -0.000000
    0.049125,	  180.362766,	  185.474513,	  193.064326,	    0.680538,	    0.696845,	    0.727727,	  310.788048,	  332.894173,	  324.358332,	   51.355398,	104205.356301,	   -6.443126,	    1.000000,	   -0.000000,	   -0.000000
    0.049542,	  181.309639,	  189.332526,	  194.048696,	    0.683686,	    0.711307,	    0.731807,	  315.887773,	  337.831642,	  324.359920,	   50.603548,	106374.887240,	   -6.862766,	    1.000000,	   -0.000000,	   -0.000000
