[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.046625,	58.822\237.688,	 5.540\194.268,	   50.306879,	   -1.#IND00,	   53.282171,	   43.420027,	   -1.#IND00,	   -1.#IND00
    0.047042,	59.996\245.705,	 4.843\202.156,	   51.514921,	   -1.#IND00,	   55.152870,	   43.548386,	   -1.#IND00,	   -1.#IND00
    0.047458,	61.284\253.568,	 4.167\213.247,	   50.529871,	   -1.#IND00,	   57.117589,	   40.321102,	   -1.#IND00,	   -1.#IND00
    0.047875,	62.644\261.263,	 3.608\228.807,	   49.230314,	   -1.#IND00,	   59.035509,	   32.456171,	   -1.#IND00,	   -1.#IND00
    0.048292,	64.028\268.790,	 3.309\249.133,	   50.204948,	   -1.#IND00,	   60.719411,	   19.656711,	   -1.#IND00,	   -1.#IND00
    0.048708,	65.391\276.158,	 3.405\271.370,	   51.355398,	   60.780291,	   61.986438,	    4.788487,	   -9.424893,	  -59.218348
    0.049125,	66.685\283.389,	 3.911\290.606,	   50.603548,	   91.268607,	   62.773844,	   -7.217131,	  -40.665060,	 -255.506100
    0.049542,	67.869\290.507,	 4.708\304.760,	   49.395435,	  115.412850,	   63.161967,	  -14.253034,	  -66.017415,	 -414.799646
    0.049958,	68.916\297.545,	 5.649\314.844,	   50.136353,	  136.038590,	   63.267510,	  -17.298459,	  -85.902237,	 -539.739663
    0.050375,	69.804\304.536,	 6.638\322.250,	   51.162929,	  126.919642,	   63.166071,	  -17.714507,	  -75.756712,	 -475.993453
    0.050792,	70.520\311.514,	 7.619\327.873,	   50.549016,	  104.904492,	   62.900460,	  -16.359186,	  -54.355476,	 -341.525524
    0.051208,	71.061\318.515,	 8.551\332.327,	   49.503792,	   86.912781,	   62.509561,	  -13.812416,	  -37.408989,	 -235.047604
    0.051625,	71.435\325.571,	 9.397\336.056,	   50.180421,	  109.287667,	   62.038493,	  -10.485023,	  -59.107246,	 -371.381774
    0.052042,	71.665\332.712,	10.125\339.363,	   51.064390,	   81.223165,	   61.539605,	   -6.650625,	  -30.158775,	 -189.493168
    0.052458,	71.778\339.963,	10.712\342.395,	   50.492743,	   -1.#IND00,	   61.066229,	   -2.432094,	   -1.#IND00,	   -1.#IND00
    0.052875,	71.811\347.344,	11.141\345.182,	   49.585403,	   -1.#IND00,	   60.669854,	    2.161842,	   -1.#IND00,	   -1.#IND00
    0.053292,	71.809\354.868,	11.403\347.813,	   50.232103,	   -1.#IND00,	   60.405410,	    7.054717,	   -1.#IND00,	   -1.#IND00
    0.053708,	71.818\ 2.535,	11.487\350.445,	   51.011190,	   -1.#IND00,	   60.330550,	   12.090711,	   -1.#IND00,	   -1.#IND00
    0.054125,	71.886\10.338,	11.386\353.174,	   49.438430,	   -1.#IND00,	   60.499548,	   17.163665,	   -1.#IND00,	   -1.#IND00
    0.054542,	72.058\18.258,	11.099\356.065,	   49.594258,	   -1.#IND00,	   60.958551,	   22.193147,	   -1.#IND00,	   -1.#IND00
    0.054958,	72.372\26.269,	10.631\359.212,	   50.147945,	   -1.#IND00,	   61.741344,	   27.057052,	   -1.#IND00,	   -1.#IND00
    0.055375,	72.857\34.335,	 9.992\ 2.786,	   50.949673,	   -1.#IND00,	   62.864866,	   31.549610,	   -1.#IND00,	   -1.#IND00
    0.055792,	73.527\42.415,	 9.201\ 7.067,	   49.519978,	   -1.#IND00,	   64.325928,	   35.348613,	   -1.#IND00,	   -1.#IND00
    0.056208,	74.384\50.468,	 8.283\12.390,	   49.639355,	   -1.#IND00,	   66.100706,	   38.078219,	   -1.#IND00,	   -1.#IND00
    0.056625,	75.415\58.457,	 7.277\19.222,	   50.097732,	   -1.#IND00,	   68.138629,	   39.235585,	   -1.#IND00,	   -1.#IND00
    0.057042,	76.596\66.351,	 6.250\28.445,	   50.876196,	   -1.#IND00,	   70.345973,	   37.905932,	   -1.#IND00,	   -1.#IND00
    0.057458,	77.889\74.126,	 5.318\41.434,	   49.576155,	   -1.#IND00,	   72.570403,	   32.691526,	   -1.#IND00,	   -1.#IND00
    0.057875,	79.250\81.771,	 4.662\59.448,	   49.709592,	   -1.#IND00,	   74.588001,	   22.322416,	   -1.#IND00,	   -1.#IND00
    0.058292,	80.633\89.283,	 4.498\81.457,	   50.083893,	   31.280912,	   76.135053,	    7.826467,	   18.802981,	  118.142611
    0.058708,	81.993\96.670,	 4.927\102.753,	   50.767299,	   69.703572,	   77.066283,	   -6.083068,	  -18.936273,	 -118.980112
    0.059125,	83.284\103.946,	 5.833\119.422,	   49.588154,	   95.075163,	   77.451164,	  -15.475629,	  -45.487009,	 -285.803299
    0.059542,	84.463\111.132,	 7.023\131.268,	   49.842241,	  117.040627,	   77.439865,	  -20.135757,	  -67.198386,	 -422.219904
    0.059958,	85.483\118.260,	 8.351\139.606,	   50.675627,	  138.294085,	   77.132299,	  -21.346450,	  -87.618458,	 -550.523001
    0.060375,	86.298\125.371,	 9.716\145.684,	   52.098270,	  122.258449,	   76.581408,	  -20.312466,	  -70.160179,	 -440.829398
    0.060792,	86.890\132.510,	11.044\150.434,	   51.057143,	   94.781510,	   75.845455,	  -17.924327,	  -43.724367,	 -274.728293
    0.061208,	87.277\139.708,	12.274\154.438,	   50.268823,	   87.327189,	   75.002438,	  -14.730271,	  -37.058366,	 -232.844579
    0.061625,	87.496\146.985,	13.356\158.009,	   50.011192,	  115.984113,	   74.140466,	  -11.023994,	  -65.972921,	 -414.520079
    0.062042,	87.593\154.353,	14.246\161.324,	   50.990280,	   83.063114,	   73.346860,	   -6.970735,	  -32.072834,	 -201.519557
    0.062458,	87.611\161.817,	14.906\164.520,	   49.980971,	   -1.#IND00,	   72.704872,	   -2.702484,	   -1.#IND00,	   -1.#IND00
    0.062875,	87.595\169.373,	15.306\167.687,	   49.167370,	   -1.#IND00,	   72.289425,	    1.685463,	   -1.#IND00,	   -1.#IND00
    0.063292,	87.584\177.013,	15.428\170.805,	   49.019072,	   38.331727,	   72.156039,	    6.208296,	   10.687344,	   67.150564
    0.063708,	87.612\184.741,	15.270\173.821,	   50.916199,	   -1.#IND00,	   72.342068,	   10.920727,	   -1.#IND00,	   -1.#IND00
    0.064125,	87.720\192.561,	14.845\176.792,	   49.122128,	   -1.#IND00,	   72.874737,	   15.769268,	   -1.#IND00,	   -1.#IND00
    0.064542,	87.943\200.457,	14.175\179.874,	   48.540999,	   -1.#IND00,	   73.768859,	   20.583216,	   -1.#IND00,	   -1.#IND00
    0.064958,	88.303\208.394,	13.286\183.252,	   49.440341,	   -1.#IND00,	   75.017567,	   25.141802,	   -1.#IND00,	   -1.#IND00
    0.065375,	88.797\216.332,	12.208\187.111,	   52.037817,	   -1.#IND00,	   76.589630,	   29.220549,	   -1.#IND00,	   -1.#IND00
    0.065792,	89.413\224.241,	10.976\191.692,	   50.199951,	   -1.#IND00,	   78.437245,	   32.548929,	   -1.#IND00,	   -1.#IND00
    0.066208,	90.133\232.101,	 9.642\197.469,	   49.034858,	   -1.#IND00,	   80.490865,	   34.632302,	   -1.#IND00,	   -1.#IND00
    0.066625,	90.930\239.895,	 8.288\205.338,	   49.693095,	   -1.#IND00,	   82.641966,	   34.557168,	   -1.#IND00,	   -1.#IND00
