[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.406208,	   70.496518,	   59.294453,	   39.942304,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966261,	   92.708794,	   49.999993,	10080.978846,	-1993.003718,	    0.981012,	    0.000000,	  -40.377716
    0.412875,	   70.496525,	   59.294456,	   56.240141,	    0.000000,	    0.000000,	    0.000000,	   83.259144,	   50.261644,	   95.816719,	   49.999993,	11648.546033,	-2074.104919,	    0.984515,	    0.000000,	   38.870292
    0.419542,	   70.496515,	   59.294448,	   48.051363,	    0.000000,	    0.000000,	    0.000000,	   83.180166,	   54.718090,	   85.922807,	   49.999993,	10794.523721,	-3391.104624,	    0.954031,	    0.000000,	    1.507448
    0.426208,	   70.496518,	   59.294453,	   39.942316,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966255,	   92.708805,	   49.999993,	10080.979836,	-1993.002186,	    0.981012,	    0.000000,	  -40.377740
    0.432875,	   70.496525,	   59.294456,	   56.240149,	    0.000000,	    0.000000,	    0.000000,	   83.259126,	   50.261654,	   95.816711,	   49.999993,	11648.546855,	-2074.106543,	    0.984515,	    0.000000,	   38.870269
    0.439542,	   70.496515,	   59.294448,	   48.051344,	    0.000000,	    0.000000,	    0.000000,	   83.180184,	   54.718086,	   85.922803,	   49.999993,	10794.521903,	-3391.104530,	    0.954031,	    0.000000,	    1.507493
    0.446208,	   70.496518,	   59.294453,	   39.942328,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966250,	   92.708817,	   49.999993,	10080.980829,	-1993.000656,	    0.981012,	    0.000000,	  -40.377762
    0.452875,	   70.496525,	   59.294456,	   56.240156,	    0.000000,	    0.000000,	    0.000000,	   83.259108,	   50.261664,	   95.816704,	   49.999993,	11648.547680,	-2074.108166,	    0.984515,	    0.000000,	   38.870246
    0.459542,	   70.496515,	   59.294448,	   48.051325,	    0.000000,	    0.000000,	    0.000000,	   83.180202,	   54.718081,	   85.922800,	   49.999993,	10794.520084,	-3391.104435,	    0.954031,	    0.000000,	    1.507539
    0.466208,	   70.496518,	   59.294453,	   39.942341,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966244,	   92.708828,	   49.999993,	10080.981821,	-1992.999126,	    0.981012,	    0.000000,	  -40.377784
    0.472875,	   70.496525,	   59.294456,	   56.240163,	    0.000000,	    0.000000,	    0.000000,	   83.259090,	   50.261674,	   95.816697,	   49.999993,	11648.548507,	-2074.109789,	    0.984515,	    0.000000,	   38.870222
    0.479542,	   70.496515,	   59.294448,	   48.051306,	    0.000000,	    0.000000,	    0.000000,	   83.180220,	   54.718077,	   85.922796,	   49.999993,	10794.518264,	-3391.104341,	    0.954031,	    0.000000,	    1.507584
    0.486208,	   70.496518,	   59.294453,	   39.942353,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966238,	   92.708839,	   49.999993,	10080.982813,	-1992.997597,	    0.981012,	    0.000000,	  -40.377805
    0.492875,	   70.496525,	   59.294456,	   56.240171,	    0.000000,	    0.000000,	    0.000000,	   83.259072,	   50.261684,	   95.816689,	   49.999993,	11648.549335,	-2074.111412,	    0.984515,	    0.000000,	   38.870197
    0.499542,	   70.496515,	   59.294448,	   48.051287,	    0.000000,	    0.000000,	    0.000000,	   83.180238,	   54.718073,	   85.922792,	   49.999993,	10794.516444,	-3391.104247,	    0.954031,	    0.000000,	    1.507630
    0.506208,	   70.496518,	   59.294453,	   39.942366,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966232,	   92.708850,	   49.999993,	10080.983805,	-1992.996068,	    0.981012,	    0.000000,	  -40.377827
    0.512875,	   70.496525,	   59.294456,	   56.240178,	    0.000000,	    0.000000,	    0.000000,	   83.259054,	   50.261694,	   95.816682,	   49.999993,	11648.550164,	-2074.113035,	    0.984515,	    0.000000,	   38.870173
    0.519542,	   70.496515,	   59.294448,	   48.051268,	    0.000000,	    0.000000,	    0.000000,	   83.180256,	   54.718068,	   85.922788,	   49.999993,	10794.514624,	-3391.104153,	    0.954031,	    0.000000,	    1.507676
    0.526208,	   70.496518,	   59.294453,	   39.942378,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966226,	   92.708862,	   49.999993,	10080.984797,	-1992.994539,	    0.981012,	    0.000000,	  -40.377848
    0.532875,	   70.496525,	   59.294456,	   56.240185,	    0.000000,	    0.000000,	    0.000000,	   83.259035,	   50.261705,	   95.816675,	   49.999993,	11648.550992,	-2074.114658,	    0.984515,	    0.000000,	   38.870149
    0.539542,	   70.496515,	   59.294448,	   48.051249,	    0.000000,	    0.000000,	    0.000000,	   83.180274,	   54.718064,	   85.922784,	   49.999993,	10794.512805,	-3391.104059,	    0.954031,	    0.000000,	    1.507722
    0.546208,	   70.496518,	   59.294453,	   39.942390,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966220,	   92.708873,	   49.999993,	10080.985788,	-1992.993011,	    0.981013,	    0.000000,	  -40.377870
    0.552875,	   70.496525,	   59.294456,	   56.240193,	    0.000000,	    0.000000,	    0.000000,	   83.259017,	   50.261715,	   95.816667,	   49.999993,	11648.551821,	-2074.116281,	    0.984515,	    0.000000,	   38.870124
    0.559542,	   70.496515,	   59.294448,	   48.051230,	    0.000000,	    0.000000,	    0.000000,	   83.180292,	   54.718059,	   85.922780,	   49.999993,	10794.510985,	-3391.103964,	    0.954031,	    0.000000,	    1.507768
    0.566208,	   70.496518,	   59.294453,	   39.942403,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966214,	   92.708884,	   49.999993,	10080.986779,	-1992.991482,	    0.981013,	    0.000000,	  -40.377892
    0.572875,	   70.496525,	   59.294456,	   56.240200,	    0.000000,	    0.000000,	    0.000000,	   83.258999,	   50.261725,	   95.816660,	   49.999993,	11648.552649,	-2074.117904,	    0.984515,	    0.000000,	   38.870100
