[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    1.085791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913335,	  213.884207,	   -1.#IND00,	   -1.#IND00
    1.092458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713912,	  148.147277,	   -1.#IND00,	   -1.#IND00
    1.099125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466330,	   80.981480,	   -1.#IND00,	   -1.#IND00
    1.105791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913331,	  213.884137,	   -1.#IND00,	   -1.#IND00
    1.112458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713912,	  148.147216,	   -1.#IND00,	   -1.#IND00
    1.119125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466335,	   80.981404,	   -1.#IND00,	   -1.#IND00
    1.125791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913327,	  213.884068,	   -1.#IND00,	   -1.#IND00
    1.132458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713913,	  148.147154,	   -1.#IND00,	   -1.#IND00
    1.139125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466339,	   80.981328,	   -1.#IND00,	   -1.#IND00
    1.145791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913323,	  213.883998,	   -1.#IND00,	   -1.#IND00
    1.152458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713913,	  148.147093,	   -1.#IND00,	   -1.#IND00
    1.159125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466343,	   80.981252,	   -1.#IND00,	   -1.#IND00
    1.165791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913319,	  213.883929,	   -1.#IND00,	   -1.#IND00
    1.172458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713913,	  148.147032,	   -1.#IND00,	   -1.#IND00
    1.179125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466348,	   80.981176,	   -1.#IND00,	   -1.#IND00
    1.185791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913315,	  213.883859,	   -1.#IND00,	   -1.#IND00
    1.192458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713914,	  148.146970,	   -1.#IND00,	   -1.#IND00
    1.199125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466352,	   80.981100,	   -1.#IND00,	   -1.#IND00
    1.205791,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913310,	  213.883790,	   -1.#IND00,	   -1.#IND00
