[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.043292,	55.322\172.975,	 1.345\296.865,	   50.641403,	   63.767949,	   53.977228,	 -123.889715,	  -13.126546,	  -82.476516
    0.043708,	55.325\180.690,	 1.620\306.871,	   51.576467,	   99.350130,	   53.704295,	 -126.181109,	  -47.773663,	 -300.170770
    0.044125,	55.381\188.583,	 1.938\313.826,	   50.256349,	  109.693941,	   53.442541,	 -125.243696,	  -59.437592,	 -373.457398
    0.044542,	55.537\196.635,	 2.266\319.336,	   49.105403,	   75.382534,	   53.271500,	 -122.701289,	  -26.277131,	 -165.104084
    0.044958,	55.836\204.809,	 2.584\324.107,	   50.507350,	   48.301751,	   53.251475,	 -119.297509,	    2.205599,	   13.858185
    0.045375,	56.304\213.055,	 2.889\328.134,	   51.661626,	   -1.#IND00,	   53.415206,	 -115.079037,	   -1.#IND00,	   -1.#IND00
    0.045792,	56.958\221.318,	 3.181\331.343,	   50.477756,	   -1.#IND00,	   53.776744,	 -110.024955,	   -1.#IND00,	   -1.#IND00
    0.046208,	57.801\229.545,	 3.451\334.181,	   49.129702,	   -1.#IND00,	   54.350122,	 -104.635776,	   -1.#IND00,	   -1.#IND00
    0.046625,	58.822\237.688,	 3.687\336.932,	   50.306879,	   -1.#IND00,	   55.135938,	  -99.244208,	   -1.#IND00,	   -1.#IND00
    0.047042,	59.996\245.705,	 3.888\339.380,	   51.514921,	   -1.#IND00,	   56.108228,	  -93.675034,	   -1.#IND00,	   -1.#IND00
    0.047458,	61.284\253.568,	 4.056\341.478,	   50.529871,	   -1.#IND00,	   57.227900,	  -87.910031,	   -1.#IND00,	   -1.#IND00
    0.047875,	62.644\261.263,	 4.189\343.466,	   49.230314,	   -1.#IND00,	   58.454619,	  -82.202549,	   -1.#IND00,	   -1.#IND00
    0.048292,	64.028\268.790,	 4.278\345.631,	   50.204948,	   -1.#IND00,	   59.750656,	  -76.841044,	   -1.#IND00,	   -1.#IND00
    0.048708,	65.391\276.158,	 4.314\348.107,	   51.355398,	   -1.#IND00,	   61.076796,	  -71.948199,	   -1.#IND00,	   -1.#IND00
    0.049125,	66.685\283.389,	 4.296\350.661,	   50.603548,	   -1.#IND00,	   62.388469,	  -67.272874,	   -1.#IND00,	   -1.#IND00
    0.049542,	67.869\290.507,	 4.225\353.162,	   49.395435,	   -1.#IND00,	   63.644542,	  -62.654173,	   -1.#IND00,	   -1.#IND00
    0.049958,	68.916\297.545,	 4.102\355.893,	   50.136353,	   -1.#IND00,	   64.813966,	  -58.347879,	   -1.#IND00,	   -1.#IND00
    0.050375,	69.804\304.536,	 3.929\359.050,	   51.162929,	   -1.#IND00,	   65.875061,	  -54.514581,	   -1.#IND00,	   -1.#IND00
    0.050792,	70.520\311.514,	 3.707\ 2.628,	   50.549016,	   -1.#IND00,	   66.813242,	  -51.114384,	   -1.#IND00,	   -1.#IND00
    0.051208,	71.061\318.515,	 3.440\ 6.730,	   49.503792,	   -1.#IND00,	   67.620261,	  -48.215163,	   -1.#IND00,	   -1.#IND00
    0.051625,	71.435\325.571,	 3.139\11.665,	   50.180421,	   -1.#IND00,	   68.296261,	  -46.093613,	   -1.#IND00,	   -1.#IND00
    0.052042,	71.665\332.712,	 2.819\18.104,	   51.064390,	   -1.#IND00,	   68.846338,	  -45.392426,	   -1.#IND00,	   -1.#IND00
    0.052458,	71.778\339.963,	 2.498\26.777,	   50.492743,	   -1.#IND00,	   69.280141,	  -46.814371,	   -1.#IND00,	   -1.#IND00
    0.052875,	71.811\347.344,	 2.197\38.157,	   49.585403,	   -1.#IND00,	   69.613951,	  -50.813299,	   -1.#IND00,	   -1.#IND00
    0.053292,	71.809\354.868,	 1.959\52.914,	   50.232103,	   -1.#IND00,	   69.849175,	  -58.046344,	   -1.#IND00,	   -1.#IND00
    0.053708,	71.818\ 2.535,	 1.852\71.031,	   51.011190,	   -1.#IND00,	   69.965147,	  -68.496146,	   -1.#IND00,	   -1.#IND00
    0.054125,	71.886\10.338,	 1.924\90.111,	   49.438430,	   89.547655,	   69.961355,	  -79.773733,	  -40.109225,	 -252.013690
    0.054542,	72.058\18.258,	 2.167\106.891,	   49.594258,	  107.336104,	   69.890552,	  -88.633289,	  -57.741846,	 -362.802712
    0.054958,	72.372\26.269,	 2.530\120.059,	   50.147945,	   72.657216,	   69.842516,	  -93.789661,	  -22.509271,	 -141.429920
    0.055375,	72.857\34.335,	 2.963\129.999,	   50.949673,	   61.641000,	   69.894029,	  -95.663799,	  -10.691328,	  -67.175591
    0.055792,	73.527\42.415,	 3.438\137.424,	   49.519978,	   75.510954,	   70.089078,	  -95.009065,	  -25.990977,	 -163.306120
    0.056208,	74.384\50.468,	 3.925\143.174,	   49.639355,	   31.037560,	   70.458622,	  -92.705710,	   18.601795,	  116.878522
    0.056625,	75.415\58.457,	 4.397\147.952,	   50.097732,	   -1.#IND00,	   71.018781,	  -89.494236,	   -1.#IND00,	   -1.#IND00
    0.057042,	76.596\66.351,	 4.836\152.041,	   50.876196,	   -1.#IND00,	   71.760062,	  -85.690313,	   -1.#IND00,	   -1.#IND00
    0.057458,	77.889\74.126,	 5.233\155.571,	   49.576155,	   -1.#IND00,	   72.655756,	  -81.445354,	   -1.#IND00,	   -1.#IND00
    0.057875,	79.250\81.771,	 5.579\158.674,	   49.709592,	   -1.#IND00,	   73.670647,	  -76.903071,	   -1.#IND00,	   -1.#IND00
    0.058292,	80.633\89.283,	 5.866\161.507,	   50.083893,	   -1.#IND00,	   74.767685,	  -72.223778,	   -1.#IND00,	   -1.#IND00
    0.058708,	81.993\96.670,	 6.082\164.254,	   50.767299,	   -1.#IND00,	   75.910842,	  -67.583853,	   -1.#IND00,	   -1.#IND00
    0.059125,	83.284\103.946,	 6.222\166.951,	   49.588154,	   -1.#IND00,	   77.061553,	  -63.004604,	   -1.#IND00,	   -1.#IND00
    0.059542,	84.463\111.132,	 6.282\169.596,	   49.842241,	   -1.#IND00,	   78.180835,	  -58.463684,	   -1.#IND00,	   -1.#IND00
    0.059958,	85.483\118.260,	 6.257\172.464,	   50.675627,	   -1.#IND00,	   79.226138,	  -54.203957,	   -1.#IND00,	   -1.#IND00
    0.060375,	86.298\125.371,	 6.139\175.841,	   52.098270,	   -1.#IND00,	   80.158554,	  -50.469551,	   -1.#IND00,	   -1.#IND00
    0.060792,	86.890\132.510,	 5.923\179.742,	   51.057143,	   -1.#IND00,	   80.966584,	  -47.231887,	   -1.#IND00,	   -1.#IND00
    0.061208,	87.277\139.708,	 5.609\184.091,	   50.268823,	   -1.#IND00,	   81.667495,	  -44.382717,	   -1.#IND00,	   -1.#IND00
    0.061625,	87.496\146.985,	 5.206\188.873,	   50.011192,	   -1.#IND00,	   82.290722,	  -41.888027,	   -1.#IND00,	   -1.#IND00
    0.062042,	87.593\154.353,	 4.732\194.306,	   50.990280,	   -1.#IND00,	   82.861110,	  -39.953464,	   -1.#IND00,	   -1.#IND00
    0.062458,	87.611\161.817,	 4.213\200.742,	   49.980971,	   -1.#IND00,	   83.398378,	  -38.925371,	   -1.#IND00,	   -1.#IND00
    0.062875,	87.595\169.373,	 3.671\208.430,	   49.167370,	   -1.#IND00,	   83.924489,	  -39.057836,	   -1.#IND00,	   -1.#IND00
    0.063292,	87.584\177.013,	 3.145\217.989,	   49.019072,	   -1.#IND00,	   84.438977,	  -40.976077,	   -1.#IND00,	   -1.#IND00
    0.063708,	87.612\184.741,	 2.705\230.599,	   50.916199,	   -1.#IND00,	   84.907451,	  -45.858058,	   -1.#IND00,	   -1.#IND00
    0.064125,	87.720\192.561,	 2.428\246.886,	   49.122128,	   56.282285,	   85.291320,	  -54.324900,	   -7.160157,	  -44.988594
    0.064542,	87.943\200.457,	 2.375\265.427,	   48.540999,	   91.731568,	   85.568571,	  -64.970490,	  -43.190569,	 -271.374342
    0.064958,	88.303\208.394,	 2.546\283.036,	   49.440341,	   88.131603,	   85.757572,	  -74.641996,	  -38.691263,	 -243.104369
